  62.0 8.3274E-01 7.8701E-01 8.8076E-01   19.289  17.126  21.318     .938
  63.0 8.2064E-01 7.7224E-01 8.7147E-01   18.566  16.444  20.540     .930
  64.0 8.0770E-01 7.5649E-01 8.6148E-01   17.855  15.776  19.772     .922
  65.0 7.9390E-01 7.3974E-01 8.5076E-01   17.157  15.121  19.015     .913
  66.0 7.7922E-01 7.2201E-01 8.3930E-01   16.470  14.480  18.268     .903
  67.0 7.6370E-01 7.0334E-01 8.2708E-01   15.795  13.851  17.530     .893
  68.0 7.4729E-01 6.8369E-01 8.1406E-01   15.131  13.235  16.803     .882
  69.0 7.2989E-01 6.6298E-01 8.0014E-01   14.479  12.633  16.086     .870
  70.0 7.1140E-01 6.4109E-01 7.8522E-01   13.843  12.047  15.382     .857
  71.0 6.9173E-01 6.1797E-01 7.6919E-01   13.222  11.479  14.692     .844
  72.0 6.7085E-01 5.9359E-01 7.5197E-01   12.618  10.929  14.017     .829
  73.0 6.4873E-01 5.6801E-01 7.3349E-01   12.031  10.399  13.357     .813
  74.0 6.2547E-01 5.4137E-01 7.1377E-01   11.459   9.886  12.712     .796
  75.0 6.0118E-01 5.1387E-01 6.9286E-01   10.902   9.388  12.081     .779
  76.0 5.7598E-01 4.8565E-01 6.7082E-01   10.357   8.904  11.461     .760
  77.0 5.4988E-01 4.5679E-01 6.4764E-01    9.825   8.435  10.854     .741
  78.0 5.2292E-01 4.2742E-01 6.2321E-01    9.305   7.981  10.259     .720
  79.0 4.9505E-01 3.9763E-01 5.9734E-01    8.801   7.541   9.682     .699
  80.0 4.6622E-01 3.6750E-01 5.6987E-01    8.314   7.118   9.124     .677
  81.0 4.3643E-01 3.3706E-01 5.4077E-01    7.847   6.715   8.588     .654
  82.0 4.0583E-01 3.0647E-01 5.1017E-01    7.401   6.336   8.073     .631
  83.0 3.7468E-01 2.7609E-01 4.7821E-01    6.975   5.978   7.579     .606
  84.0 3.4339E-01 2.4650E-01 4.4512E-01    6.565   5.636   7.105     .581
  85.0 3.1230E-01 2.1816E-01 4.1115E-01    6.168   5.304   6.650     .557
  86.0 2.8153E-01 1.9116E-01 3.7643E-01    5.788   4.983   6.217     .533
  87.0 2.5117E-01 1.6550E-01 3.4113E-01    5.428   4.679   5.809     .509
  88.0 2.2156E-01 1.4140E-01 3.0573E-01    5.086   4.392   5.424     .486
  89.0 1.9307E-01 1.1910E-01 2.7074E-01    4.764   4.122   5.060     .462
  90.0 1.6604E-01 9.8784E-02 2.3666E-01    4.459   3.869   4.717     .438
  91.0 1.4063E-01 8.0549E-02 2.0372E-01    4.175   3.634   4.399     .415
  92.0 1.1706E-01 6.4441E-02 1.7231E-01    3.916   3.420   4.111     .393
  93.0 9.5685E-02 5.0524E-02 1.4310E-01    3.682   3.228   3.850     .371
  94.0 7.6820E-02 3.8824E-02 1.1672E-01    3.466   3.055   3.609     .349
  95.0 6.0582E-02 2.9266E-02 9.3463E-02    3.264   2.895   3.385     .329
  96.0 4.6893E-02 2.1656E-02 7.3392E-02    3.075   2.744   3.178     .310
  97.0 3.5553E-02 1.5693E-02 5.6407E-02    2.902   2.605   2.989     .292
  98.0 2.6410E-02 1.1151E-02 4.2432E-02    2.740   2.472   2.815     .276
  99.0 1.9215E-02 7.7620E-03 3.1241E-02    2.587   2.343   2.651     .261
 100.0 1.3686E-02 5.2851E-03 2.2507E-02    2.439   2.220   2.494     .247
 101.0 9.5253E-03 3.5144E-03 1.5837E-02    2.297   2.100   2.343     .233
 102.0 6.4653E-03 2.2780E-03 1.0862E-02    2.160   1.986   2.199     .220
 103.0 4.2700E-03 1.4365E-03 7.2452E-03    2.029   1.875   2.061     .208
 104.0 2.7372E-03 8.7932E-04 4.6879E-03    1.902   1.769   1.928     .197
 105.0 1.6982E-03 5.2121E-04 2.9340E-03    1.780   1.666   1.802     .187
 106.0 1.0164E-03 2.9833E-04 1.7705E-03    1.663   1.567   1.680     .177
 107.0 5.8477E-04 1.6438E-04 1.0262E-03    1.551   1.472   1.564     .168
 108.0 3.2202E-04 8.6882E-05 5.6892E-04    1.443   1.380   1.453     .160
 109.0 1.6891E-04 4.3873E-05 3.0020E-04    1.339   1.292   1.346     .153
 110.0 8.3912E-05 2.1069E-05 1.4990E-04    1.240   1.207   1.245     .148
 111.0 3.9216E-05 9.5701E-06 7.0343E-05    1.144   1.125   1.147     .143
 112.0 1.7103E-05 4.0859E-06 3.0771E-05    1.054   1.045   1.055     .139
 113.0 6.8928E-06 1.6274E-06 1.2422E-05     .969    .968    .969     .138
 114.0 2.5380E-06 5.9920E-07 4.5737E-06     .894    .894    .894     .138
 115.0 8.5432E-07 2.0170E-07 1.5396E-06     .822    .822    .822     .138
 116.0 2.5924E-07 6.1205E-08 4.6717E-07     .753    .753    .753     .138
 117.0 6.9636E-08 1.6441E-08 1.2549E-07     .685    .685    .685     .138
 118.0 1.6159E-08 3.8150E-09 2.9120E-08     .619    .619    .619     .138
 119.0 3.1292E-09 7.3878E-10 5.6391E-09     .554    .554    .554     .138
 120.0 4.7981E-10 1.1328E-10 8.6466E-10     .491    .491    .491     .138

